holding_id,portfolio_id,security_id,security_symbol,security_name,security_type,shares,purchase_price,current_price,purchase_date
HOLD000023,PORT00002,SEC00005,FZM,Security 29,Option,546.01,214.6,300.17,2023-11-01
HOLD000024,PORT00003,SEC00034,STU,Security 63,Stock,448.0,433.03,152.29,2024-10-29
HOLD000025,PORT00003,SEC00069,RFE,Security 31,Mutual Fund,31.16,69.16,26.37,2023-01-30
HOLD000026,PORT00003,SEC00089,SKP,Security 40,Bond,987.78,80.66,253.59,2025-01-21
HOLD000027,PORT00003,SEC00072,FOL,Security 75,Option,929.93,194.42,440.52,2023-04-15
HOLD000028,PORT00003,SEC00074,RYC,Security 6,Mutual Fund,122.79,123.21,160.33,2022-08-19
HOLD000029,PORT00003,SEC00021,STH,Security 27,Option,377.35,340.27,139.86,2023-01-26
HOLD000030,PORT00003,SEC00063,FHM,Security 32,ETF,150.87,172.24,356.6,2024-04-14
HOLD000031,PORT00003,SEC00083,ZSR,Security 10,Stock,820.99,136.42,192.48,2023-11-15
HOLD000032,PORT00003,SEC00068,XOH,Security 69,ETF,939.11,267.71,189.84,2022-01-05
HOLD000033,PORT00003,SEC00059,JKD,Security 16,Mutual Fund,178.84,236.66,46.43,2022-12-10
HOLD000034,PORT00003,SEC00095,OXC,Security 3,Stock,25.15,107.21,450.84,2024-07-09
HOLD000035,PORT00003,SEC00044,VEV,Security 61,Mutual Fund,971.15,237.26,94.66,2023-09-11
HOLD000036,PORT00003,SEC00029,EIT,Security 40,Option,492.84,391.56,257.27,2024-07-21
HOLD000037,PORT00003,SEC00055,YBW,Security 87,Stock,896.29,307.77,158.37,2022-04-15
HOLD000038,PORT00004,SEC00083,LXR,Security 24,Option,71.65,378.59,318.24,2023-04-15
HOLD000039,PORT00004,SEC00095,FPA,Security 11,Option,570.23,112.72,283.25,2021-07-09
HOLD000040,PORT00004,SEC00017,DPV,Security 17,Option,246.08,11.01,307.44,2023-07-13
HOLD000041,PORT00004,SEC00069,QYY,Security 35,Mutual Fund,545.97,297.07,308.8,2025-05-29
HOLD000042,PORT00004,SEC00058,GGE,Security 17,Stock,408.5,96.1,490.12,2022-10-17
HOLD000043,PORT00004,SEC00004,OFO,Security 37,Bond,336.54,259.89,188.04,2022-09-12
HOLD000044,PORT00004,SEC00028,ZYE,Security 65,ETF,743.7,486.68,478.28,2024-07-08
HOLD000045,PORT00004,SEC00099,JEB,Security 43,Stock,163.68,37.13,295.85,2025-11-13
HOLD000046,PORT00004,SEC00046,BRU,Security 27,Mutual Fund,348.53,106.03,418.52,2021-05-08
HOLD000047,PORT00004,SEC00030,LAT,Security 23,ETF,910.84,288.46,178.06,2022-01-16
HOLD000048,PORT00004,SEC00093,UFN,Security 9,ETF,372.14,189.59,135.17,2022-12-18
HOLD000049,PORT00004,SEC00070,UEW,Security 23,Option,452.1,36.99,43.23,2024-09-04
HOLD000050,PORT00004,SEC00055,YUC,Security 28,Option,579.0,394.29,112.1,2024-09-06
HOLD000051,PORT00004,SEC00076,VQW,Security 57,Mutual Fund,980.28,342.04,151.9,2025-05-13
HOLD000052,PORT00004,SEC00021,EON,Security 84,Stock,964.97,420.52,408.29,2023-07-19
HOLD000053,PORT00004,SEC00055,AOW,Security 52,Mutual Fund,289.34,338.01,383.31,2023-05-09
HOLD000054,PORT00005,SEC00064,PDH,Security 83,Mutual Fund,675.08,309.76,362.85,2024-07-06
HOLD000055,PORT00005,SEC00012,FRT,Security 75,Option,316.98,53.46,372.43,2021-10-10
HOLD000056,PORT00005,SEC00087,ALI,Security 17,Bond,996.62,440.06,330.85,2023-10-13
HOLD000057,PORT00005,SEC00018,LYO,Security 35,Option,969.9,446.68,147.59,2023-08-24
HOLD000058,PORT00005,SEC00091,PJM,Security 92,Mutual Fund,342.76,187.78,163.54,2025-07-17
HOLD000059,PORT00005,SEC00073,IHI,Security 17,Mutual Fund,277.54,79.0,166.26,2025-11-05
HOLD000060,PORT00006,SEC00095,YCC,Security 47,Mutual Fund,793.63,459.81,230.67,2021-03-29
HOLD000061,PORT00006,SEC00048,XAV,Security 38,ETF,917.25,429.59,115.63,2021-03-02
HOLD000062,PORT00006,SEC00022,KJU,Security 20,Bond,760.37,285.18,330.57,2021-12-09
HOLD000063,PORT00006,SEC00020,NAF,Security 73,ETF,647.61,353.74,478.7,2024-04-10
HOLD000064,PORT00006,SEC00100,RAK,Security 59,Option,424.68,413.64,321.82,2023-05-18
HOLD000065,PORT00006,SEC00086,GGY,Security 45,Bond,36.85,264.65,306.63,2023-09-07
HOLD000066,PORT00006,SEC00012,CBV,Security 77,ETF,836.39,486.71,495.99,2024-12-24
HOLD000067,PORT00006,SEC00067,NNX,Security 83,Mutual Fund,244.48,496.06,332.88,2025-06-20
HOLD000068,PORT00006,SEC00071,SRL,Security 60,Option,896.1,332.33,87.54,2024-05-29
HOLD000069,PORT00006,SEC00067,MRR,Security 22,Bond,557.0,397.61,178.98,2022-02-22
HOLD000070,PORT00006,SEC00045,DAY,Security 86,Option,245.83,133.66,217.27,2024-07-28
HOLD000071,PORT00006,SEC00007,QRA,Security 34,Option,664.38,269.08,94.57,2023-03-07
HOLD000072,PORT00006,SEC00099,EPW,Security 36,ETF,15.07,49.24,69.73,2023-11-06
HOLD000073,PORT00006,SEC00056,NHU,Security 16,Stock,27.33,454.32,259.75,2022-11-04
HOLD000074,PORT00006,SEC00048,KOW,Security 78,Bond,861.42,345.98,440.17,2024-08-21
HOLD000075,PORT00006,SEC00067,DEI,Security 3,Stock,796.79,250.64,199.21,2023-08-31
HOLD000076,PORT00007,SEC00071,INC,Security 43,Option,107.13,65.87,166.83,2022-09-05
HOLD000077,PORT00007,SEC00057,UZD,Security 59,Bond,739.39,144.06,340.05,2025-05-06
HOLD000078,PORT00007,SEC00099,CGQ,Security 57,Mutual Fund,8.08,286.4,45.66,2025-11-18
HOLD000079,PORT00007,SEC00094,NWD,Security 62,Bond,341.5,179.15,457.13,2022-06-09
HOLD000080,PORT00007,SEC00063,DPP,Security 57,Bond,863.24,220.11,488.92,2025-07-26
HOLD000081,PORT00007,SEC00011,ZMF,Security 42,Option,342.83,479.95,186.17,2023-05-07
HOLD000082,PORT00007,SEC00079,YPE,Security 69,Stock,502.37,302.42,467.23,2023-02-14
HOLD000083,PORT00007,SEC00020,KSL,Security 55,Stock,392.33,272.14,472.64,2022-09-29
HOLD000084,PORT00007,SEC00026,PVK,Security 3,Stock,306.56,463.92,379.37,2025-08-21
HOLD000085,PORT00007,SEC00022,PAY,Security 88,Bond,397.75,145.61,208.61,2021-12-18
HOLD000086,PORT00007,SEC00061,MCX,Security 81,Stock,360.7,78.61,254.33,2024-10-31
HOLD000087,PORT00007,SEC00088,PLJ,Security 26,Mutual Fund,306.57,246.27,478.53,2025-08-01
HOLD000088,PORT00007,SEC00016,KFN,Security 85,Stock,490.7,271.39,287.38,2022-06-01
HOLD000089,PORT00008,SEC00044,QQG,Security 74,ETF,719.37,380.21,229.29,2025-04-08
HOLD000090,PORT00008,SEC00092,VMM,Security 42,Option,642.6,148.83,136.85,2025-10-20
HOLD000091,PORT00008,SEC00029,FWG,Security 16,Bond,263.76,259.89,324.94,2021-10-22
HOLD000092,PORT00008,SEC00073,DYI,Security 21,ETF,265.17,451.05,170.86,2022-09-25
HOLD000093,PORT00008,SEC00014,LZT,Security 49,Mutual Fund,300.5,446.41,275.61,2021-05-22
HOLD000094,PORT00008,SEC00062,GOW,Security 24,Stock,258.87,223.69,404.89,2024-10-09
HOLD000095,PORT00008,SEC00078,WIF,Security 35,Stock,524.31,166.9,18.83,2022-12-14
HOLD000096,PORT00008,SEC00076,BAM,Security 3,ETF,492.72,429.65,356.61,2023-08-30
HOLD000097,PORT00008,SEC00017,IAQ,Security 17,Option,215.78,415.83,320.02,2025-08-08
HOLD000098,PORT00008,SEC00004,VSF,Security 61,Bond,232.04,167.81,283.52,2022-07-12
HOLD000099,PORT00008,SEC00023,KPA,Security 19,ETF,677.96,87.33,275.34,2023-12-02
HOLD000100,PORT00009,SEC00010,ZLO,Security 63,Bond,723.67,477.25,171.1,2021-06-12
HOLD000101,PORT00009,SEC00052,HTO,Security 69,ETF,655.79,31.02,202.39,2021-05-04
HOLD000102,PORT00009,SEC00068,IHT,Security 93,ETF,536.18,88.33,296.62,2022-03-23
HOLD000103,PORT00009,SEC00025,GNS,Security 10,Option,336.62,62.9,278.45,2024-09-24
HOLD000104,PORT00009,SEC00002,BWG,Security 4,Mutual Fund,379.55,133.23,167.59,2022-07-25
HOLD000105,PORT00009,SEC00052,RSV,Security 63,Mutual Fund,521.59,331.72,277.63,2024-02-13
HOLD000106,PORT00009,SEC00083,RXG,Security 88,Bond,996.8,57.65,277.62,2021-03-29
HOLD000107,PORT00009,SEC00084,HVT,Security 3,Bond,906.6,52.48,356.11,2024-07-21
HOLD000108,PORT00009,SEC00082,EAR,Security 27,ETF,917.48,428.68,194.97,2024-11-10
HOLD000109,PORT00009,SEC00019,QPS,Security 37,ETF,233.76,52.61,41.43,2025-10-23
HOLD000110,PORT00009,SEC00076,QEB,Security 38,Option,830.27,209.15,41.15,2024-06-30
HOLD000111,PORT00009,SEC00055,FRR,Security 88,Mutual Fund,479.03,324.4,60.53,2022-11-06
HOLD000112,PORT00009,SEC00096,TYN,Security 61,Stock,569.67,180.69,325.63,2022-03-27
HOLD000113,PORT00009,SEC00031,WAF,Security 86,ETF,899.67,216.22,267.49,2021-06-17
HOLD000114,PORT00009,SEC00027,EUV,Security 57,Bond,563.42,368.89,286.93,2023-08-14
HOLD000115,PORT00009,SEC00056,MFS,Security 3,Option,69.09,233.71,148.07,2021-03-15
HOLD000116,PORT00009,SEC00021,RZG,Security 93,Option,924.63,45.02,226.56,2022-02-25
HOLD000117,PORT00009,SEC00049,PGY,Security 44,Stock,683.3,95.71,349.94,2025-11-03
HOLD000118,PORT00009,SEC00092,IPV,Security 87,Bond,23.06,300.48,138.99,2022-02-15
HOLD000119,PORT00009,SEC00004,OIQ,Security 68,Bond,279.04,435.64,489.61,2022-04-21
HOLD000120,PORT00010,SEC00046,NOE,Security 4,ETF,679.63,344.42,404.54,2022-08-07
HOLD000121,PORT00010,SEC00003,DIW,Security 62,Bond,733.14,373.4,78.46,2024-12-04
HOLD000122,PORT00010,SEC00023,BQS,Security 48,Option,686.62,311.32,331.71,2023-11-16
HOLD000123,PORT00010,SEC00010,OJV,Security 70,Option,505.12,74.93,19.49,2023-08-12
HOLD000124,PORT00010,SEC00069,NPH,Security 53,Mutual Fund,239.42,271.77,140.25,2021-08-02
HOLD000125,PORT00010,SEC00048,FHL,Security 76,Option,766.17,99.69,326.06,2025-07-20
HOLD000126,PORT00010,SEC00018,SUB,Security 9,ETF,715.8,206.25,444.61,2023-11-11
HOLD000127,PORT00010,SEC00009,OIP,Security 57,Bond,243.58,147.92,493.07,2023-06-26
HOLD000128,PORT00010,SEC00051,UNJ,Security 57,Option,526.23,396.88,152.63,2023-06-24
HOLD000129,PORT00010,SEC00043,ZUA,Security 28,Bond,358.8,140.48,257.56,2021-12-29
HOLD000130,PORT00010,SEC00007,WDK,Security 89,Bond,448.73,481.19,181.17,2022-05-25
HOLD000131,PORT00011,SEC00005,HBO,Security 47,Option,343.7,308.07,393.45,2024-10-06
HOLD000132,PORT00011,SEC00097,WTU,Security 54,Bond,887.27,74.81,413.25,2022-08-07
HOLD000133,PORT00011,SEC00080,DTI,Security 93,Mutual Fund,692.2,451.26,125.47,2024-06-19
HOLD000134,PORT00011,SEC00028,HTS,Security 99,ETF,70.31,129.9,118.0,2025-09-08
HOLD000135,PORT00011,SEC00056,DTH,Security 57,ETF,645.74,40.22,68.45,2023-01-24
HOLD000136,PORT00011,SEC00061,RXB,Security 83,Stock,549.37,403.32,42.4,2020-12-16
HOLD000137,PORT00011,SEC00050,USS,Security 26,Mutual Fund,650.21,36.84,427.71,2023-12-27
HOLD000138,PORT00011,SEC00049,PYV,Security 22,Mutual Fund,128.93,230.74,144.15,2025-09-13
HOLD000139,PORT00011,SEC00082,UOY,Security 66,Mutual Fund,179.13,236.52,383.32,2022-02-21
HOLD000140,PORT00011,SEC00009,GOK,Security 52,Mutual Fund,557.57,215.1,226.23,2021-08-15
HOLD000141,PORT00011,SEC00015,IHN,Security 36,Option,574.78,123.27,193.85,2023-04-24
HOLD000142,PORT00011,SEC00041,TAQ,Security 66,ETF,689.98,483.72,39.19,2025-01-09
HOLD000143,PORT00011,SEC00048,DQR,Security 22,Option,111.84,451.14,32.19,2021-09-06
HOLD000144,PORT00011,SEC00042,HHI,Security 38,Stock,850.84,487.48,66.07,2025-11-21
HOLD000145,PORT00011,SEC00022,FBC,Security 29,Option,135.5,211.5,319.77,2022-09-06
HOLD000146,PORT00011,SEC00018,EQT,Security 25,ETF,2.75,466.96,368.07,2021-01-03
HOLD000147,PORT00011,SEC00063,FNH,Security 31,Bond,565.22,458.22,118.7,2025-08-09
HOLD000148,PORT00012,SEC00020,ZGF,Security 70,Mutual Fund,163.85,79.31,14.1,2023-09-18
HOLD000149,PORT00012,SEC00018,EID,Security 62,Mutual Fund,742.64,208.51,20.61,2024-05-22
HOLD000150,PORT00012,SEC00076,VQQ,Security 95,Bond,251.39,348.49,308.47,2022-05-01
HOLD000151,PORT00012,SEC00022,SAX,Security 23,ETF,401.67,356.58,294.89,2021-04-04
HOLD000152,PORT00012,SEC00035,KBV,Security 72,Bond,17.39,321.71,93.26,2021-08-07
HOLD000153,PORT00013,SEC00093,TEO,Security 71,Bond,820.43,313.03,89.0,2021-10-11
HOLD000154,PORT00013,SEC00043,GSQ,Security 25,ETF,290.29,120.57,140.61,2025-06-23
HOLD000155,PORT00013,SEC00096,FMR,Security 35,Option,37.05,465.21,455.67,2023-12-20
HOLD000156,PORT00013,SEC00054,JGE,Security 83,Stock,411.94,469.02,478.68,2024-08-16
HOLD000157,PORT00013,SEC00016,EIQ,Security 31,Option,889.44,96.67,230.13,2025-08-14
HOLD000158,PORT00013,SEC00050,UKY,Security 100,Mutual Fund,337.79,126.56,339.01,2021-09-26
HOLD000159,PORT00013,SEC00043,IDG,Security 18,Bond,436.59,468.97,45.29,2024-11-13
HOLD000160,PORT00013,SEC00048,FHB,Security 85,Option,68.54,337.81,116.53,2021-09-14
HOLD000161,PORT00013,SEC00025,WUI,Security 79,Mutual Fund,333.82,388.47,133.38,2021-07-15
HOLD000162,PORT00013,SEC00019,IEU,Security 8,Mutual Fund,167.19,344.48,108.86,2022-04-06
HOLD000163,PORT00013,SEC00099,QTA,Security 83,ETF,768.22,364.84,131.84,2022-05-08
HOLD000164,PORT00013,SEC00089,RYP,Security 90,ETF,229.27,397.62,408.51,2024-01-01
HOLD000165,PORT00013,SEC00038,WBA,Security 22,Bond,9.77,87.73,357.37,2023-06-18
HOLD000166,PORT00013,SEC00099,ORR,Security 54,Option,360.44,87.0,371.61,2021-01-06
HOLD000167,PORT00013,SEC00001,KPA,Security 92,Bond,483.44,320.1,387.63,2024-08-04
HOLD000168,PORT00013,SEC00067,FBB,Security 2,Stock,218.68,15.81,53.74,2025-07-21
HOLD000169,PORT00013,SEC00072,BBS,Security 23,Option,886.27,65.06,479.79,2025-11-16
HOLD000170,PORT00013,SEC00026,RQP,Security 66,Stock,334.91,446.46,61.5,2023-01-27
HOLD000171,PORT00014,SEC00055,LJB,Security 11,ETF,177.01,147.87,78.36,2023-11-27
HOLD000172,PORT00014,SEC00087,LLH,Security 66,ETF,50.34,244.34,294.76,2024-02-13
HOLD000173,PORT00014,SEC00085,JFF,Security 91,Stock,360.2,334.36,473.43,2021-12-03
HOLD000174,PORT00014,SEC00067,HPC,Security 90,Mutual Fund,935.31,458.39,171.39,2024-06-20
HOLD000175,PORT00014,SEC00079,MGF,Security 34,Bond,997.59,462.47,202.01,2025-07-28
HOLD000176,PORT00014,SEC00040,PFT,Security 33,Option,267.65,100.03,21.61,2022-06-13
HOLD000177,PORT00014,SEC00003,ADX,Security 38,Bond,782.31,57.99,29.48,2025-07-08
HOLD000178,PORT00014,SEC00056,UBT,Security 57,Stock,737.69,234.99,32.04,2021-11-12
HOLD000179,PORT00014,SEC00032,AFI,Security 14,Option,216.17,180.7,256.72,2021-05-05
HOLD000180,PORT00014,SEC00002,LIF,Security 27,Bond,774.76,254.93,46.65,2025-03-21
HOLD000181,PORT00015,SEC00097,HIF,Security 88,Option,639.29,65.06,51.08,2024-04-30
HOLD000182,PORT00015,SEC00057,XHS,Security 95,Option,10.31,119.58,294.21,2022-03-27
HOLD000183,PORT00015,SEC00092,USS,Security 14,Mutual Fund,658.93,174.06,252.3,2022-10-20
HOLD000184,PORT00015,SEC00092,PMR,Security 39,Stock,522.3,60.14,72.43,2022-10-13
HOLD000185,PORT00015,SEC00024,MDZ,Security 91,Bond,855.33,79.86,124.63,2024-04-05
HOLD000186,PORT00015,SEC00085,DSC,Security 60,Bond,702.71,291.24,286.8,2025-01-16
HOLD000187,PORT00015,SEC00076,LJI,Security 93,Stock,335.7,166.72,391.74,2023-09-25
HOLD000188,PORT00015,SEC00031,VEC,Security 71,Bond,444.13,14.82,383.89,2021-09-07
HOLD000189,PORT00016,SEC00100,XEN,Security 71,ETF,95.66,31.04,464.94,2021-07-19
HOLD000190,PORT00016,SEC00039,JPN,Security 5,ETF,969.39,304.62,420.66,2022-12-10
HOLD000191,PORT00016,SEC00073,MVF,Security 67,ETF,498.82,152.82,123.47,2021-04-04
HOLD000192,PORT00016,SEC00092,TUR,Security 96,Option,899.59,265.13,178.01,2021-07-03
HOLD000193,PORT00016,SEC00100,EKY,Security 72,Option,59.4,289.55,205.23,2024-12-27
HOLD000194,PORT00016,SEC00046,FLX,Security 42,Option,30.31,131.22,65.39,2024-01-23
HOLD000195,PORT00016,SEC00029,TXK,Security 28,Stock,978.63,105.33,113.93,2021-02-23
HOLD000196,PORT00016,SEC00017,CJX,Security 65,Mutual Fund,662.22,488.74,47.21,2024-05-25
HOLD000197,PORT00016,SEC00031,YZC,Security 78,Bond,929.86,318.79,73.16,2022-08-08
HOLD000198,PORT00016,SEC00058,YWH,Security 14,Mutual Fund,364.02,98.66,328.63,2024-03-16
HOLD000199,PORT00016,SEC00024,KQV,Security 55,ETF,4.09,67.49,346.24,2021-10-20
HOLD000200,PORT00016,SEC00034,MWD,Security 16,ETF,1.49,66.15,19.02,2024-03-24
HOLD000201,PORT00016,SEC00086,KFL,Security 39,Option,937.89,208.1,326.04,2021-02-19
HOLD000202,PORT00016,SEC00098,XZK,Security 6,Option,361.83,64.41,34.01,2022-05-07
HOLD000203,PORT00016,SEC00097,YRA,Security 25,Stock,401.79,66.82,154.84,2025-05-16
HOLD000204,PORT00016,SEC00008,KOR,Security 60,Stock,248.56,236.18,110.82,2025-04-10
HOLD000205,PORT00016,SEC00012,YSJ,Security 82,Bond,908.69,472.58,233.43,2025-08-24
HOLD000206,PORT00017,SEC00026,NMN,Security 2,ETF,210.58,282.24,376.75,2022-06-04
HOLD000207,PORT00017,SEC00068,RCY,Security 45,Option,273.63,447.97,174.94,2021-10-01
HOLD000208,PORT00017,SEC00008,MSU,Security 44,Mutual Fund,650.0,361.5,288.42,2025-04-17
HOLD000209,PORT00017,SEC00043,FYI,Security 24,ETF,692.36,336.21,307.82,2025-04-29
HOLD000210,PORT00017,SEC00049,ZUD,Security 44,Bond,891.1,343.36,453.26,2024-06-17
HOLD000211,PORT00017,SEC00036,YHY,Security 9,ETF,164.98,17.33,22.79,2024-07-03
HOLD000212,PORT00018,SEC00004,JVL,Security 100,Bond,867.05,31.17,379.32,2024-10-04
HOLD000213,PORT00018,SEC00041,ATM,Security 66,Option,954.97,261.01,456.73,2021-10-20
HOLD000214,PORT00018,SEC00030,CCJ,Security 76,ETF,198.85,259.31,252.78,2022-11-10
HOLD000215,PORT00018,SEC00033,IIC,Security 85,Bond,113.25,301.69,42.74,2021-08-10
HOLD000216,PORT00018,SEC00007,MEE,Security 81,Stock,500.17,487.35,160.89,2021-08-09
HOLD000217,PORT00019,SEC00094,AGE,Security 2,Stock,755.08,446.79,334.6,2025-10-10
HOLD000218,PORT00019,SEC00021,TDK,Security 40,Bond,352.42,162.57,84.7,2024-07-04
HOLD000219,PORT00019,SEC00100,SWR,Security 14,Stock,143.23,26.24,299.29,2020-12-30
HOLD000220,PORT00019,SEC00002,CFV,Security 34,Mutual Fund,895.04,354.37,106.76,2025-11-09
HOLD000221,PORT00019,SEC00090,EKN,Security 63,Bond,984.72,97.82,92.65,2025-03-17
HOLD000222,PORT00019,SEC00058,DFH,Security 94,Bond,53.46,448.7,496.48,2024-01-31
HOLD000223,PORT00019,SEC00043,JAT,Security 25,Mutual Fund,230.08,194.68,260.18,2021-07-20
HOLD000224,PORT00019,SEC00070,NSD,Security 36,Option,56.35,23.55,399.1,2023-10-23
HOLD000225,PORT00019,SEC00051,VSG,Security 3,Stock,724.67,308.05,131.33,2022-02-12
HOLD000226,PORT00019,SEC00062,KUK,Security 54,ETF,385.07,49.33,140.3,2022-10-11
HOLD000227,PORT00019,SEC00017,HGI,Security 35,Bond,821.27,350.27,242.6,2024-03-03
HOLD000228,PORT00019,SEC00023,PEX,Security 2,Mutual Fund,81.73,411.75,305.68,2023-11-24
HOLD000229,PORT00019,SEC00037,ZDJ,Security 73,Stock,757.12,498.33,325.49,2025-05-25
HOLD000230,PORT00019,SEC00011,EQI,Security 19,Mutual Fund,920.11,401.78,324.47,2022-07-19
HOLD000231,PORT00019,SEC00051,FHY,Security 18,ETF,744.62,214.97,190.05,2021-03-11
HOLD000232,PORT00019,SEC00025,OPE,Security 61,ETF,992.65,304.59,184.06,2023-11-22
HOLD000233,PORT00019,SEC00077,AQJ,Security 85,Option,207.1,17.34,429.66,2024-02-28
HOLD000234,PORT00019,SEC00053,TIG,Security 8,ETF,282.84,301.44,489.56,2021-03-17
HOLD000235,PORT00020,SEC00007,TPY,Security 83,ETF,502.85,497.01,239.65,2023-02-01
HOLD000236,PORT00020,SEC00067,WTA,Security 97,Stock,642.3,82.01,441.87,2022-09-23
HOLD000237,PORT00020,SEC00046,CTB,Security 54,Bond,606.76,159.1,79.83,2023-10-27
HOLD000238,PORT00020,SEC00023,AGB,Security 55,Mutual Fund,881.19,445.83,60.05,2025-01-31
HOLD000239,PORT00020,SEC00072,PLW,Security 27,Bond,981.76,439.71,257.92,2022-04-01
HOLD000240,PORT00020,SEC00100,RYA,Security 10,Bond,991.56,402.07,411.4,2024-03-02
HOLD000241,PORT00020,SEC00073,JPI,Security 92,Bond,120.97,96.43,138.64,2022-01-05
HOLD000242,PORT00020,SEC00095,RFO,Security 13,Option,781.89,282.73,154.2,2023-04-30
HOLD000243,PORT00020,SEC00051,SFF,Security 73,ETF,157.19,431.33,352.89,2024-03-25
HOLD000244,PORT00020,SEC00098,PUA,Security 62,Bond,116.59,434.29,408.62,2022-04-29
HOLD000245,PORT00021,SEC00080,BLH,Security 6,Mutual Fund,268.73,118.9,420.36,2022-04-17
HOLD000246,PORT00021,SEC00079,OJB,Security 51,Bond,939.88,399.34,423.4,2023-11-16
HOLD000247,PORT00021,SEC00080,BPA,Security 6,Option,444.99,150.68,239.06,2024-07-11
HOLD000248,PORT00021,SEC00031,SPG,Security 42,Stock,777.46,391.98,13.58,2021-03-05
HOLD000249,PORT00021,SEC00075,GVG,Security 12,Option,417.95,261.63,127.73,2022-08-19
HOLD000250,PORT00021,SEC00068,VKS,Security 9,Mutual Fund,691.52,313.27,433.96,2023-10-15
HOLD000251,PORT00021,SEC00093,WMH,Security 75,Stock,678.02,291.58,30.66,2025-03-28
HOLD000252,PORT00021,SEC00065,WAP,Security 30,Bond,767.96,264.35,484.18,2022-05-23
HOLD000253,PORT00021,SEC00046,DIU,Security 9,Option,490.01,110.37,450.32,2022-12-13
HOLD000254,PORT00021,SEC00051,BOV,Security 12,ETF,755.56,248.53,152.24,2021-07-22
HOLD000255,PORT00021,SEC00003,PUX,Security 47,ETF,503.72,219.35,23.0,2021-07-14
HOLD000256,PORT00021,SEC00063,PWS,Security 7,Stock,87.55,483.41,103.12,2021-06-18
HOLD000257,PORT00021,SEC00089,RLS,Security 57,Option,461.35,45.07,444.14,2025-05-22
HOLD000258,PORT00021,SEC00032,TFC,Security 16,ETF,55.98,169.46,423.33,2023-09-18
HOLD000259,PORT00021,SEC00049,SMD,Security 34,ETF,579.46,233.47,287.21,2020-12-21
HOLD000260,PORT00021,SEC00066,SEM,Security 77,Mutual Fund,525.19,120.75,131.2,2023-10-20
HOLD000261,PORT00022,SEC00076,VLX,Security 36,Stock,632.36,24.38,375.64,2024-01-17
HOLD000262,PORT00022,SEC00030,AJE,Security 14,Mutual Fund,720.72,364.35,411.74,2022-01-13
HOLD000263,PORT00022,SEC00054,XNL,Security 15,Option,889.32,441.95,388.87,2022-05-26
HOLD000264,PORT00022,SEC00033,AGM,Security 85,Mutual Fund,45.97,293.5,415.71,2023-06-20
HOLD000265,PORT00022,SEC00065,PRU,Security 28,Bond,187.4,87.41,18.9,2024-08-19
HOLD000266,PORT00022,SEC00086,RKQ,Security 79,Mutual Fund,476.23,287.17,420.24,2023-10-26
HOLD000267,PORT00022,SEC00013,KVF,Security 14,Option,529.63,105.63,352.37,2024-09-12
HOLD000268,PORT00022,SEC00091,ARC,Security 99,ETF,142.21,205.08,469.64,2023-03-14
HOLD000269,PORT00022,SEC00056,CEI,Security 17,Stock,309.43,47.21,203.1,2022-01-16
