payment_id,loan_id,payment_date,amount,principal_paid,interest_paid,remaining_balance,status
LPAY00000137,LOAN000013,2025-10-28,3641.0,3717.3,306.97,62585.96,Pending
LPAY00000138,LOAN000013,2024-09-06,1412.6,3504.24,690.97,322785.24,Returned
LPAY00000139,LOAN000013,2024-08-10,3612.52,3298.71,903.14,45198.8,Posted
LPAY00000140,LOAN000013,2023-12-06,2204.13,2185.47,495.22,351999.66,Posted
LPAY00000141,LOAN000013,2025-10-07,240.8,362.79,453.42,188933.51,Returned
LPAY00000142,LOAN000013,2024-10-27,4713.07,233.6,187.13,6476.53,Pending
LPAY00000143,LOAN000013,2023-12-19,3531.41,1266.42,139.43,205138.69,Pending
LPAY00000144,LOAN000013,2025-03-14,1783.93,763.67,39.31,125007.5,Pending
LPAY00000145,LOAN000013,2025-03-02,4861.77,2635.76,407.41,253715.37,Posted
LPAY00000146,LOAN000013,2025-06-25,3729.96,3582.46,177.66,103872.17,Posted
LPAY00000147,LOAN000013,2024-04-12,1337.57,364.9,197.3,315031.85,Late
LPAY00000148,LOAN000013,2025-03-01,1805.9,1350.9,320.01,178413.39,Returned
LPAY00000149,LOAN000014,2024-09-24,3610.51,2263.97,427.6,339389.28,Late
LPAY00000150,LOAN000014,2025-10-28,4159.8,2635.93,184.99,59858.61,Returned
LPAY00000151,LOAN000014,2024-11-09,3414.49,1989.62,68.79,291997.58,Pending
LPAY00000152,LOAN000014,2023-11-26,4506.65,1182.69,204.52,4997.47,Posted
LPAY00000153,LOAN000014,2025-01-21,1258.03,750.49,505.4,147112.11,Late
LPAY00000154,LOAN000014,2024-08-17,291.55,2652.83,815.17,9513.67,Posted
LPAY00000155,LOAN000014,2024-05-07,2874.11,930.97,844.85,29513.2,Late
LPAY00000156,LOAN000014,2025-01-17,2934.62,2005.03,660.3,90205.08,Returned
LPAY00000157,LOAN000014,2025-03-09,2177.12,3827.53,63.43,384124.5,Returned
LPAY00000158,LOAN000014,2024-06-14,1639.16,3715.6,197.49,41099.37,Returned
LPAY00000159,LOAN000014,2024-07-16,3127.67,196.87,199.19,268835.26,Returned
LPAY00000160,LOAN000015,2025-09-07,3622.73,2052.9,833.82,137007.73,Late
LPAY00000161,LOAN000015,2025-05-23,4950.39,2331.09,644.97,22478.89,Returned
LPAY00000162,LOAN000015,2024-07-06,1095.02,3774.93,13.18,13180.55,Posted
LPAY00000163,LOAN000015,2025-03-06,3371.72,3260.59,173.34,363176.3,Returned
LPAY00000164,LOAN000015,2023-12-22,3260.64,2461.2,319.3,121019.58,Posted
LPAY00000165,LOAN000015,2025-02-26,3851.65,3775.26,815.92,372776.67,Posted
LPAY00000166,LOAN000015,2023-12-11,4367.21,2228.78,392.87,219011.04,Pending
LPAY00000167,LOAN000015,2023-12-11,4549.36,800.4,230.97,225162.82,Posted
LPAY00000168,LOAN000015,2024-03-03,1222.24,3442.71,898.27,26377.85,Late
LPAY00000169,LOAN000015,2024-09-01,3259.33,1617.28,321.7,359179.38,Pending
LPAY00000170,LOAN000015,2025-06-03,3538.67,384.12,631.79,44492.22,Returned
LPAY00000171,LOAN000016,2024-08-13,4653.14,3464.94,185.75,91225.45,Posted
LPAY00000172,LOAN000016,2024-04-07,2345.11,3824.24,260.16,190007.14,Returned
LPAY00000173,LOAN000016,2025-07-30,2366.01,241.61,334.24,285125.56,Posted
LPAY00000174,LOAN000017,2024-12-18,4558.37,2106.81,278.19,342481.16,Pending
LPAY00000175,LOAN000017,2024-07-10,1130.57,270.3,569.31,362167.53,Late
LPAY00000176,LOAN000018,2025-07-27,1213.17,3105.39,390.05,287643.07,Posted
LPAY00000177,LOAN000018,2024-01-09,4680.06,3225.65,835.01,371393.54,Pending
LPAY00000178,LOAN000018,2025-07-12,3105.32,848.44,594.56,58690.4,Pending
LPAY00000179,LOAN000018,2025-04-26,4404.42,170.6,670.95,315419.02,Posted
LPAY00000180,LOAN000018,2025-04-16,3276.68,2081.34,972.01,198997.14,Late
LPAY00000181,LOAN000018,2025-05-09,270.91,601.09,462.9,308845.3,Late
LPAY00000182,LOAN000018,2025-07-20,777.29,1508.15,125.67,177207.54,Pending
LPAY00000183,LOAN000018,2024-05-23,3684.41,1365.97,389.8,250154.82,Pending
LPAY00000184,LOAN000018,2025-07-24,1959.14,3505.9,648.91,62615.11,Returned
LPAY00000185,LOAN000019,2025-01-24,2720.49,1792.54,425.01,351581.2,Returned
LPAY00000186,LOAN000019,2025-08-18,753.17,3369.09,992.29,373840.09,Late
LPAY00000187,LOAN000019,2025-01-02,3943.22,673.83,133.72,15208.67,Late
LPAY00000188,LOAN000019,2025-04-20,487.51,3433.7,340.84,323913.39,Returned
LPAY00000189,LOAN000019,2024-05-06,3455.93,2472.83,756.85,85169.81,Posted
LPAY00000190,LOAN000019,2025-07-30,4987.17,3325.73,611.5,253124.17,Posted
LPAY00000191,LOAN000019,2025-11-15,1423.13,3411.93,555.45,268469.55,Pending
LPAY00000192,LOAN000020,2024-08-19,3138.01,1312.13,835.71,116712.67,Late
LPAY00000193,LOAN000020,2025-10-10,4049.63,1327.97,268.61,207547.06,Late
LPAY00000194,LOAN000020,2024-03-18,2619.91,3292.28,950.19,253231.54,Posted
LPAY00000195,LOAN000020,2024-10-23,2911.3,1258.41,583.73,219913.46,Late
LPAY00000196,LOAN000020,2024-02-26,3238.4,2201.64,891.04,307205.14,Posted
LPAY00000197,LOAN000020,2024-10-14,290.0,3164.12,583.99,372498.61,Late
LPAY00000198,LOAN000020,2024-03-23,1606.62,1414.24,647.33,43009.97,Posted
LPAY00000199,LOAN000020,2025-05-16,4582.34,3190.9,502.07,200008.64,Posted
LPAY00000200,LOAN000020,2024-05-27,4782.45,2036.71,99.51,92702.15,Pending
LPAY00000201,LOAN000021,2025-04-12,1113.24,3816.22,799.55,186509.4,Posted
LPAY00000202,LOAN000021,2024-12-05,791.34,1998.08,145.34,94394.39,Late
LPAY00000203,LOAN000021,2025-08-12,3555.88,619.63,839.84,180101.22,Posted
LPAY00000204,LOAN000021,2025-04-08,802.88,920.39,256.1,281397.37,Late
LPAY00000205,LOAN000021,2024-02-02,3924.03,2775.28,310.79,32512.42,Pending
LPAY00000206,LOAN000021,2024-07-14,1448.81,591.67,137.4,330895.79,Posted
LPAY00000207,LOAN000021,2024-12-25,1575.3,1122.65,650.53,206194.58,Late
LPAY00000208,LOAN000021,2025-11-08,814.02,1229.72,413.56,30200.79,Posted
LPAY00000209,LOAN000021,2024-10-21,4176.66,419.76,13.5,41813.45,Returned
LPAY00000210,LOAN000021,2024-07-15,3423.88,3391.72,494.83,6899.02,Late
LPAY00000211,LOAN000021,2025-08-18,3557.23,2555.43,790.74,5153.08,Pending
LPAY00000212,LOAN000021,2024-07-06,942.49,1265.24,250.9,72030.03,Late
LPAY00000213,LOAN000021,2025-11-14,1490.53,3701.11,111.57,31052.72,Late
LPAY00000214,LOAN000021,2024-09-15,4817.92,3972.48,885.44,82889.9,Late
LPAY00000215,LOAN000021,2025-05-03,2059.68,1131.88,371.0,14022.62,Pending
LPAY00000216,LOAN000021,2024-03-19,177.61,993.35,913.1,212028.05,Returned
LPAY00000217,LOAN000021,2024-05-23,4371.55,1740.06,444.24,153979.47,Returned
LPAY00000218,LOAN000021,2024-03-09,4838.5,3273.45,773.83,81296.66,Pending
LPAY00000219,LOAN000021,2025-04-26,3841.81,645.26,572.92,209645.59,Posted
LPAY00000220,LOAN000022,2024-06-22,4211.6,802.85,885.1,359548.57,Posted
LPAY00000221,LOAN000022,2023-12-20,2673.15,3788.62,814.71,27829.44,Late
LPAY00000222,LOAN000022,2024-10-30,653.83,2084.9,883.94,23680.96,Pending
LPAY00000223,LOAN000022,2024-07-24,3517.5,952.28,625.23,107348.4,Returned
LPAY00000224,LOAN000022,2024-08-08,2737.0,963.3,311.78,276237.98,Returned
LPAY00000225,LOAN000022,2025-02-10,872.68,3097.98,513.09,207385.61,Pending
LPAY00000226,LOAN000022,2025-03-25,792.65,1095.99,206.38,164952.81,Returned
LPAY00000227,LOAN000022,2024-02-21,3640.31,3899.22,674.7,271453.19,Returned
LPAY00000228,LOAN000022,2025-04-19,4750.86,1034.04,165.41,346109.37,Pending
LPAY00000229,LOAN000022,2024-03-15,911.9,392.64,238.21,123004.26,Posted
LPAY00000230,LOAN000022,2024-10-17,452.4,1641.46,618.2,116145.85,Posted
LPAY00000231,LOAN000022,2024-11-22,2041.21,3261.6,158.03,179673.72,Late
LPAY00000232,LOAN000022,2025-10-27,4627.46,2899.56,412.6,144050.47,Pending
LPAY00000233,LOAN000022,2024-10-28,508.99,3431.23,435.19,233616.2,Pending
LPAY00000234,LOAN000023,2025-04-10,3180.3,2113.23,754.46,63301.25,Late
LPAY00000235,LOAN000023,2024-04-29,4660.77,782.35,866.07,68521.26,Returned
LPAY00000236,LOAN000023,2025-02-20,2429.1,237.73,735.32,24259.51,Pending
LPAY00000237,LOAN000023,2025-02-24,631.92,628.54,680.53,126725.38,Pending
LPAY00000238,LOAN000023,2024-09-17,444.63,1610.78,263.82,119461.21,Posted
LPAY00000239,LOAN000023,2025-10-27,2249.55,1257.03,900.77,357373.67,Posted
LPAY00000240,LOAN000023,2024-11-23,3899.37,910.71,841.98,247073.95,Returned
LPAY00000241,LOAN000023,2024-05-31,1127.88,1171.4,382.48,317498.92,Pending
LPAY00000242,LOAN000023,2024-07-07,2414.78,1951.97,790.24,122746.36,Pending
LPAY00000243,LOAN000024,2025-06-04,2465.15,1281.98,694.89,71289.25,Returned
LPAY00000244,LOAN000024,2024-02-07,2119.89,3681.35,787.13,54316.97,Pending
LPAY00000245,LOAN000024,2024-09-13,4878.44,679.88,836.19,233705.48,Returned
LPAY00000246,LOAN000024,2024-08-21,3085.4,2421.21,293.7,396261.0,Posted
LPAY00000247,LOAN000024,2024-04-06,1626.99,3423.57,412.98,221019.58,Pending
LPAY00000248,LOAN000024,2024-08-11,1800.23,3856.8,726.12,118424.87,Posted
LPAY00000249,LOAN000024,2024-04-30,2184.41,3341.37,195.75,130125.64,Returned
LPAY00000250,LOAN000024,2024-06-26,4810.84,2106.51,39.9,340468.45,Late
LPAY00000251,LOAN000024,2024-08-09,463.73,3762.54,353.94,157262.66,Pending
LPAY00000252,LOAN000025,2023-12-09,3945.28,2165.09,425.17,127455.99,Pending
LPAY00000253,LOAN000025,2025-10-28,1747.8,487.84,793.62,201427.75,Returned
LPAY00000254,LOAN000025,2024-06-28,2163.31,3016.23,469.93,193901.44,Posted
LPAY00000255,LOAN000025,2024-09-19,4734.43,1532.54,147.12,7598.03,Pending
LPAY00000256,LOAN000025,2024-01-14,1273.05,1552.15,496.66,13093.69,Late
LPAY00000257,LOAN000025,2025-03-19,3400.68,335.02,814.29,216481.58,Late
LPAY00000258,LOAN000025,2024-10-23,3478.8,3752.05,334.49,345207.97,Late
LPAY00000259,LOAN000025,2024-01-28,4662.5,692.59,982.0,125255.06,Returned
LPAY00000260,LOAN000025,2025-04-13,3568.7,1448.38,607.01,146190.49,Late
LPAY00000261,LOAN000025,2025-10-05,1763.76,204.45,284.78,127090.57,Posted
LPAY00000262,LOAN000025,2025-11-01,3690.11,2588.39,766.47,6060.41,Posted
LPAY00000263,LOAN000025,2024-04-10,1647.02,667.73,268.43,232095.07,Posted
LPAY00000264,LOAN000025,2024-12-14,4972.86,2522.72,253.71,62952.14,Late
LPAY00000265,LOAN000025,2024-07-11,374.8,487.4,417.59,299843.48,Returned
LPAY00000266,LOAN000025,2024-01-13,4109.02,684.8,543.57,267199.24,Pending
LPAY00000267,LOAN000025,2024-06-04,4405.34,420.17,618.41,242780.36,Late
LPAY00000268,LOAN000025,2024-09-05,4315.34,2378.43,854.1,330822.13,Returned
LPAY00000269,LOAN000025,2024-05-07,640.91,3073.37,905.62,146970.16,Late
LPAY00000270,LOAN000025,2024-01-02,3775.08,2809.8,966.57,321462.73,Posted
LPAY00000271,LOAN000025,2025-01-04,1282.38,920.66,949.05,156059.75,Late
LPAY00000272,LOAN000025,2025-02-05,2992.51,1166.83,703.92,92254.84,Pending
LPAY00000273,LOAN000026,2024-02-04,794.36,3773.35,471.02,299120.98,Late
LPAY00000274,LOAN000026,2024-12-09,4026.43,1765.27,968.21,26745.7,Late
LPAY00000275,LOAN000026,2024-11-30,2054.85,2598.38,895.05,368089.43,Returned
LPAY00000276,LOAN000026,2025-01-13,3391.63,1511.74,516.28,339880.3,Returned
LPAY00000277,LOAN000026,2025-10-26,3835.88,2941.57,85.38,373108.07,Pending
LPAY00000278,LOAN000026,2024-01-01,4755.88,1554.4,104.97,342814.07,Returned
LPAY00000279,LOAN000026,2025-04-05,183.54,1204.84,545.81,12365.17,Returned
LPAY00000280,LOAN000026,2024-03-21,2540.29,2864.9,142.51,384713.76,Returned
LPAY00000281,LOAN000026,2025-04-30,161.39,3303.95,898.7,171510.44,Late
LPAY00000282,LOAN000026,2024-10-15,4215.51,3190.7,807.26,43172.96,Late
LPAY00000283,LOAN000027,2024-01-25,2018.66,2245.76,911.62,218891.55,Late
LPAY00000284,LOAN000027,2025-05-07,4034.91,1723.68,302.88,122026.88,Pending
LPAY00000285,LOAN000027,2023-12-19,2831.5,2687.97,883.92,110177.77,Late
LPAY00000286,LOAN000027,2024-11-06,2384.65,2323.31,998.56,378979.49,Returned
LPAY00000287,LOAN000027,2025-05-06,2809.31,309.23,636.93,287115.78,Returned
LPAY00000288,LOAN000027,2024-02-04,742.09,367.64,930.48,34461.19,Posted
LPAY00000289,LOAN000027,2025-07-18,4946.29,2527.1,858.11,313496.13,Returned
LPAY00000290,LOAN000027,2025-04-17,3014.68,406.63,714.1,310935.59,Late
LPAY00000291,LOAN000027,2024-03-17,2546.83,3889.38,823.96,180884.19,Returned
LPAY00000292,LOAN000027,2023-12-28,3502.31,1497.59,908.39,118900.67,Returned
LPAY00000293,LOAN000027,2025-08-04,2712.77,3372.56,677.5,193457.74,Pending
LPAY00000294,LOAN000027,2025-02-24,290.91,1757.45,985.65,230132.02,Returned
LPAY00000295,LOAN000028,2024-12-06,655.99,3223.41,322.91,380296.67,Late
LPAY00000296,LOAN000028,2025-02-10,386.43,246.96,126.73,235742.13,Returned
LPAY00000297,LOAN000028,2025-05-21,2223.18,1690.49,961.78,369463.85,Pending
LPAY00000298,LOAN000028,2024-08-15,3961.99,2042.11,835.88,392052.52,Pending
LPAY00000299,LOAN000028,2025-05-28,4067.23,752.06,923.21,390073.29,Pending
LPAY00000300,LOAN000028,2025-09-18,2866.0,3196.84,182.58,78190.89,Posted
LPAY00000301,LOAN000028,2025-07-17,4449.13,226.5,478.0,275663.18,Returned
LPAY00000302,LOAN000028,2025-06-15,2168.31,526.35,376.76,169374.9,Posted
LPAY00000303,LOAN000028,2024-02-09,1578.44,2868.42,807.71,6931.78,Pending
LPAY00000304,LOAN000028,2024-02-29,4150.38,2194.96,952.52,307334.76,Late
LPAY00000305,LOAN000028,2023-12-22,1848.17,360.42,784.93,110997.14,Posted
LPAY00000306,LOAN000028,2024-07-12,3460.59,1437.22,11.14,256323.15,Returned
LPAY00000307,LOAN000028,2024-12-03,4576.16,2217.17,905.63,20981.05,Late
LPAY00000308,LOAN000028,2024-12-23,1935.01,2794.96,514.12,160630.78,Late
LPAY00000309,LOAN000028,2024-02-29,993.49,648.48,134.74,295905.09,Posted
LPAY00000310,LOAN000028,2025-11-05,3869.39,3711.06,353.0,271893.68,Returned
LPAY00000311,LOAN000028,2024-01-31,2313.73,2584.72,303.93,55075.69,Posted
LPAY00000312,LOAN000028,2025-08-31,2587.24,3764.92,218.77,114806.68,Pending
LPAY00000313,LOAN000028,2025-11-22,3615.27,3998.3,930.76,187421.82,Pending
